Philip Anschutz ,United States,investments,Finance & Investments 
David Cheriton ,Canada,Google,Technology 
Alexander Otto ,Germany,real estate,Real Estate 
Diane Hendricks ,United States,roofing,Construction & Engineering 
Stanley Kroenke ,United States,"sports, real estate",Sports 
Jerry Jones ,United States,Dallas Cowboys,Sports 
Quek Leng Chan ,Malaysia,"banking, property",Diversified 
Eduardo Saverin ,Brazil,Facebook,Technology 
Vagit Alekperov ,Russia,oil,Energy 
Richard Liu ,China,e-commerce,Technology 
Idan Ofer ,Israel,"drilling, shipping",Diversified 
Melker Schorling & family ,Sweden,investments,Finance & Investments 
"Chase Coleman, III. ",United States,investments,Finance & Investments 
Shuirong Li ,China,petrochemicals,Manufacturing 
Stefano Pessina ,Monaco,drugstores,Fashion & Retail 
Mikhail Prokhorov ,Russia,investments,Finance & Investments 
Marcel Herrmann Telles ,Brazil,beer,Food & Beverage 
Leon Black ,United States,private equity,Finance & Investments 
Joe Gebbia ,United States,Airbnb,Technology 
David Geffen ,United States,"movies, record labels",Media & Entertainment 
Yu Renrong ,China,semiconductors,Manufacturing 
Andrew Beal ,United States,"banks, real estate",Finance & Investments 
George Kaiser ,United States,"oil & gas, banking",Energy 
Qi Shi & family ,China,financial information,Technology 
Luis Carlos Sarmiento ,Colombia,banking,Finance & Investments 
Andreas von Bechtolsheim & family ,Germany,Google,Technology 
Jan Koum ,United States,WhatsApp,Technology 
Jorge Moll Filho & family ,Brazil,hospitals,Healthcare 
Azim Premji ,India,software services,Technology 
Finn Rausing ,Sweden,packaging,Food & Beverage 
Jorn Rausing ,Sweden,packaging,Food & Beverage 
Kirsten Rausing ,Sweden,packaging,Food & Beverage 
Wang Laisheng ,China,electronics components,Technology 
Tom & Judy Love ,United States,retail & gas stations,Fashion & Retail 
John Collison ,Ireland,payments software,Technology 
Patrick Collison ,Ireland,payment software,Technology 
Gordon Moore ,United States,Intel,Technology 
Wang Laichun ,China,electronics components,Technology 
Graeme Hart ,New Zealand,investments,Finance & Investments 
Zheng Shuliang & family ,China,aluminum products,Metals & Mining 
Cao Renxian ,China,photovoltaic equipment,Energy 
Nathan Blecharczyk ,United States,Airbnb,Technology 
James Dyson ,United Kingdom,vacuums,Manufacturing 
Ivan Glasenberg ,Switzerland,mining,Metals & Mining 
Kim Beom-su ,South Korea,online services,Technology 
Jay Y. Lee ,South Korea,Samsung,Diversified 
Liu Yonghao & family ,China,agribusiness,Service 
Ann Walton Kroenke ,United States,Walmart,Fashion & Retail 
Li Ping ,Hong Kong,batteries,Automotive 
Eric Wittouck ,Belgium,investments,Finance & Investments 
Ian & Richard Livingstone ,United Kingdom,real estate,Real Estate 
Friedhelm Loh ,Germany,manufacturing,Manufacturing 
Xavier Niel ,France,"internet, telecom",Telecom 
Michael Otto ,Germany,"retail, real estate",Fashion & Retail 
Johann Rupert & family ,South Africa,luxury goods,Fashion & Retail 
Hui Ka Yan ,China,real estate,Real Estate 
Pauline MacMillan Keinath ,United States,Cargill,Food & Beverage 
"Herbert Kohler, Jr. & family ",United States,plumbing fixtures,Manufacturing 
Li Ge ,United States,pharmaceutical ingredients,Healthcare 
Kushal Pal Singh ,India,real estate,Real Estate 
Zong Qinghou ,China,beverages,Food & Beverage 
Cai Kui ,China,real estate,Real Estate 
Charles Ergen ,United States,satellite TV,Media & Entertainment 
Gao Jifan & family ,China,solar equipment,Energy 
Bernard Marcus ,United States,Home Depot,Fashion & Retail 
Nicky Oppenheimer & family ,South Africa,diamonds,Metals & Mining 
Bajaj brothers ,India,diversified,Diversified 
"Ernest Garcia, II. ",United States,used cars,Automotive 
Paul Xiaoming Lee & family ,United States,packaging,Manufacturing 
George Soros ,United States,hedge funds,Finance & Investments 
Wang Liping & family ,China,hydraulic machinery,Manufacturing 
Ernesto Bertarelli ,Switzerland,"biotech, investments",Healthcare 
Tamara Gustavson ,United States,self storage,Service 
Carlos Alberto Sicupira & family ,Brazil,beer,Food & Beverage 
Laurent Dassault ,France,diversified,Diversified 
Thierry Dassault ,France,diversified,Diversified 
Marie-Hélène Habert-Dassault ,France,diversified,Diversified 
Liu Jincheng & family ,China,lithium batteries,Technology 
Ma Jianrong & family ,China,"textiles, apparel",Fashion & Retail 
Steven Rales ,United States,"manufacturing, investments",Manufacturing 
Joseph Tsai ,Canada,e-commerce,Technology 
Francine von Finck & family ,Germany,investments,Finance & Investments 
Anthony von Mandl ,Canada,alcoholic beverages,Food & Beverage 
Carl Bennet ,Sweden,investments,Finance & Investments 
Robert Kraft ,United States,New England Patriots,Sports 
Chairul Tanjung ,Indonesia,diversified,Diversified 
Manuel Villar ,Philippines,real estate,Real Estate 
Jean-Michel Besnier ,France,cheese,Food & Beverage 
Marie Besnier Beauvalot ,France,cheese,Food & Beverage 
Gustaf Douglas ,Sweden,investments,Diversified 
Kjeld Kirk Kristiansen ,Denmark,Lego,Manufacturing 
Sofie Kirk Kristiansen ,Denmark,Lego,Manufacturing 
Thomas Kirk Kristiansen ,Denmark,Lego,Manufacturing 
Stephen Ross ,United States,real estate,Real Estate 
Agnete Kirk Thinggaard ,Denmark,Lego,Manufacturing 
Marc Benioff ,United States,business software,Technology 
Dmitri Bukhman ,Israel,online games,Media & Entertainment 
Igor Bukhman ,Israel,online games,Media & Entertainment 
Francis Choi ,Hong Kong,real estate,Real Estate 
Murali Divi & family ,India,pharmaceuticals,Healthcare 
Nancy Walton Laurie ,United States,Walmart,Fashion & Retail 
Georg Schaeffler ,Germany,auto parts,Automotive 
Yao Liangsong ,China,furniture,Manufacturing 
Zhong Huijuan ,China,pharmaceuticals,Healthcare 
Stewart & Lynda Resnick ,United States,"agriculture, water",Food & Beverage 
George Roberts ,United States,private equity,Finance & Investments 
Michael Rubin ,United States,online retail,Fashion & Retail 
Patrick Ryan ,United States,insurance,Finance & Investments 
Christopher Hohn ,United Kingdom,hedge funds,Finance & Investments 
Marijke Mars ,United States,"candy, pet food",Food & Beverage 
Pamela Mars ,United States,"candy, pet food",Food & Beverage 
Valerie Mars ,United States,"candy, pet food",Food & Beverage 
Victoria Mars ,United States,"candy, pet food",Food & Beverage 
Hasso Plattner & family ,Germany,software,Technology 
Georg Stumpf ,Austria,"real estate, construction",Diversified 
Christy Walton ,United States,Walmart,Fashion & Retail 
Giorgio Armani ,Italy,luxury goods,Fashion & Retail 
Gopikishan Damani ,India,"retail, investments",Fashion & Retail 
Ding Shizhong & family ,China,sports apparel,Fashion & Retail 
Jim Kennedy ,United States,"media, automotive",Media & Entertainment 
German Khan ,Russia,"oil, banking, telecom",Energy 
Liang Wengen ,China,construction equipment,Manufacturing 
Blair Parry-Okeden ,United States,"media, automotive",Media & Entertainment 
Tsai Eng-meng ,Taiwan,"food, beverages",Food & Beverage 
Bajaj siblings ,India,"two-wheelers, finance",Automotive 
Ashwin Dani & family ,India,paints,Manufacturing 
Ding Shijia ,China,sports apparel,Fashion & Retail 
Karel Komarek ,Czech Republic,"oil and gas, IT, lotteries",Gambling & Casinos 
Henry Kravis ,United States,private equity,Finance & Investments 
Frederik Paulsen ,Sweden,health care,Healthcare 
Safra siblings ,Brazil,banking,Finance & Investments 
Nassef Sawiris ,Egypt,"construction, investments",Construction & Engineering 
Xu Shihui ,China,"snacks, beverages",Food & Beverage 
Rahel Blocher ,Switzerland,chemicals,Manufacturing 
Shahid Khan ,United States,auto parts,Automotive 
Magdalena Martullo-Blocher ,Switzerland,chemicals,Manufacturing 
Vincent Bolloré & family ,France,investments,Finance & Investments 
Jeffery Hildebrand ,United States,oil,Energy 
Michael Kim ,United States,private equity,Finance & Investments 
Richard Kinder ,United States,pipelines,Energy 
David Shaw ,United States,hedge funds,Finance & Investments 
John Malone ,United States,cable television,Media & Entertainment 
Vicky Safra ,Greece,banking,Finance & Investments 
Tim Sweeney ,United States,video games,Media & Entertainment 
Mike Adenuga ,Nigeria,"telecom, oil",Diversified 
David Green & family ,United States,retail,Fashion & Retail 
"Paul Tudor Jones, II. ",United States,hedge funds,Finance & Investments 
Yuri Milner ,Israel,tech investments,Finance & Investments 
Henry Samueli ,United States,semiconductors,Technology 
Patrick Soon-Shiong ,United States,pharmaceuticals,Healthcare 
Antonia Ax:son Johnson & family ,Sweden,diversified,Diversified 
Michael Kadoorie ,Hong Kong,"hotels, energy",Energy 
Lin Shu-hong ,Taiwan,petrochemicals,Manufacturing 
Niels Peter Louis-Hansen ,Denmark,medical devices,Healthcare 
Reinhold Schmieding ,United States,medical devices,Healthcare 
Wee Cho Yaw ,Singapore,banking,Finance & Investments 
Silvio Berlusconi & family ,Italy,media,Diversified 
Arthur Blank ,United States,Home Depot,Sports 
Qian Dongqi & family ,China,home-cleaning robots,Manufacturing 
J. Christopher Reyes ,United States,food distribution,Food & Beverage 
Jude Reyes ,United States,food distribution,Food & Beverage 
Nik Storonsky ,United Kingdom,fintech,Finance & Investments 
Zhou Qunfei & family ,Hong Kong,smartphone screens,Technology 
Deng Weiming & family ,China,battery components,Manufacturing 
Judy Faulkner ,United States,health IT,Technology 
Robin Li ,China,internet search,Technology 
Carrie Perrodo & family ,France,oil,Energy 
David Reuben ,United Kingdom,"investments, real estate",Real Estate 
Simon Reuben ,United Kingdom,"real estate, investments",Diversified 
Seo Jung-jin ,South Korea,biotech,Healthcare 
Roman Abramovich ,Russia,"steel, investments",Diversified 
Micky Arison ,United States,Carnival Cruises,Service 
Edythe Broad & family ,United States,"homebuilding, insurance",Diversified 
Terry Gou ,Taiwan,electronics,Technology 
Jiang Bin ,China,acoustic components,Technology 
Vinod Khosla ,United States,venture capital,Technology 
Ralph Lauren ,United States,apparel,Fashion & Retail 
Douglas Leone ,United States,venture capital,Finance & Investments 
Lucia Maggi & family ,Brazil,agribusiness,Diversified 
Horst Julius Pudwill ,Germany,manufacturing,Manufacturing 
Abdulsamad Rabiu ,Nigeria,"cement, sugar",Diversified 
Harry Stine ,United States,agriculture,Food & Beverage 
Dennis Washington ,United States,"construction, mining",Logistics 
Hasmukh Chudgar & family ,India,pharmaceuticals,Healthcare 
Stanley Druckenmiller ,United States,hedge funds,Finance & Investments 
Jonathan Gray ,United States,investments,Finance & Investments 
Kwon Hyuk-bin ,South Korea,online games,Technology 
